,number,value,datetime_start,datetime_complete,duration,params_algo__criterion,params_algo__max_depth,params_algo__max_features,params_algo__n_estimators,state
0,0,0.9391475240224809,2023-11-01 19:58:52.719068,2023-11-01 19:58:56.788365,0 days 00:00:04.069297,gini,3,sqrt,150,COMPLETE
1,1,0.942674515299225,2023-11-01 19:58:56.794755,2023-11-01 19:59:08.518490,0 days 00:00:11.723735,entropy,5,log2,300,COMPLETE
2,2,0.9503146722047112,2023-11-01 19:59:08.523716,2023-11-01 19:59:13.809230,0 days 00:00:05.285514,gini,9,log2,100,COMPLETE
3,3,0.9481073160810531,2023-11-01 19:59:13.814245,2023-11-01 19:59:19.308545,0 days 00:00:05.494300,entropy,8,log2,100,COMPLETE
4,4,0.9459543428729332,2023-11-01 19:59:19.315571,2023-11-01 19:59:29.101506,0 days 00:00:09.785935,log_loss,12,log2,200,COMPLETE
5,5,0.9491873195512603,2023-11-01 19:59:29.106508,2023-11-01 19:59:44.567342,0 days 00:00:15.460834,gini,7,sqrt,300,COMPLETE
6,6,0.9513134605598214,2023-11-01 19:59:44.571415,2023-11-01 19:59:49.885172,0 days 00:00:05.313757,gini,8,sqrt,100,COMPLETE
7,7,0.9514095489366929,2023-11-01 19:59:49.889262,2023-11-01 19:59:55.191097,0 days 00:00:05.301835,gini,12,sqrt,100,COMPLETE
8,8,0.9481073160810531,2023-11-01 19:59:55.199073,2023-11-01 20:00:00.440259,0 days 00:00:05.241186,entropy,11,sqrt,100,COMPLETE
9,9,0.9460398774339294,2023-11-01 20:00:00.445312,2023-11-01 20:00:08.165460,0 days 00:00:07.720148,entropy,12,log2,150,COMPLETE
10,10,0.9522265903035338,2023-11-01 20:00:08.172488,2023-11-01 20:00:19.394557,0 days 00:00:11.222069,gini,10,sqrt,250,COMPLETE
11,11,0.9389934469410596,2023-11-01 20:00:19.399064,2023-11-01 20:00:23.489501,0 days 00:00:04.090437,gini,3,sqrt,100,COMPLETE
12,12,0.9417150998769459,2023-11-01 20:00:23.496478,2023-11-01 20:00:30.032694,0 days 00:00:06.536216,entropy,4,log2,150,COMPLETE
13,13,0.9491694528589643,2023-11-01 20:00:30.035707,2023-11-01 20:00:41.324925,0 days 00:00:11.289218,gini,7,sqrt,250,COMPLETE
14,14,0.9514095489366929,2023-11-01 20:00:41.328436,2023-11-01 20:00:45.944075,0 days 00:00:04.615639,gini,12,sqrt,100,COMPLETE
15,15,0.9417150998769459,2023-11-01 20:00:45.948592,2023-11-01 20:00:52.261318,0 days 00:00:06.312726,log_loss,4,log2,150,COMPLETE
16,16,0.951131713571552,2023-11-01 20:00:52.264345,2023-11-01 20:01:05.459488,0 days 00:00:13.195143,gini,11,sqrt,300,COMPLETE
17,17,0.950223279658017,2023-11-01 20:01:05.462516,2023-11-01 20:01:14.106915,0 days 00:00:08.644399,gini,7,log2,200,COMPLETE
18,18,0.9418659766266685,2023-11-01 20:01:14.111679,2023-11-01 20:01:26.864010,0 days 00:00:12.752331,gini,4,sqrt,300,COMPLETE
19,19,0.9460398774339294,2023-11-01 20:01:26.866972,2023-11-01 20:01:33.255761,0 days 00:00:06.388789,entropy,12,sqrt,150,COMPLETE
20,20,0.951131713571552,2023-11-01 20:01:33.260967,2023-11-01 20:01:46.257374,0 days 00:00:12.996407,gini,9,log2,300,COMPLETE
21,21,0.950223279658017,2023-11-01 20:01:46.305672,2023-11-01 20:01:51.196286,0 days 00:00:04.890614,gini,7,log2,200,COMPLETE
22,22,0.9492048781971376,2023-11-01 20:01:51.200372,2023-11-01 20:01:58.473136,0 days 00:00:07.272764,gini,6,log2,300,COMPLETE
23,23,0.9404729882611864,2023-11-01 20:01:58.475128,2023-11-01 20:02:04.216228,0 days 00:00:05.741100,entropy,4,sqrt,250,COMPLETE
24,24,0.9481073160810531,2023-11-01 20:02:04.219147,2023-11-01 20:02:06.764751,0 days 00:00:02.545604,entropy,9,log2,100,COMPLETE
25,25,0.941899162678695,2023-11-01 20:02:06.766804,2023-11-01 20:02:09.011109,0 days 00:00:02.244305,gini,4,sqrt,100,COMPLETE
26,26,0.9441114750630489,2023-11-01 20:02:09.014100,2023-11-01 20:02:16.819133,0 days 00:00:07.805033,entropy,8,sqrt,300,COMPLETE
27,27,0.9481662269663926,2023-11-01 20:02:16.823824,2023-11-01 20:02:20.543786,0 days 00:00:03.719962,gini,6,log2,150,COMPLETE
28,28,0.9410040394983841,2023-11-01 20:02:20.545789,2023-11-01 20:02:26.215148,0 days 00:00:05.669359,gini,4,sqrt,250,COMPLETE
29,29,0.93943702815443,2023-11-01 20:02:26.220198,2023-11-01 20:02:38.891577,0 days 00:00:12.671379,entropy,4,sqrt,300,COMPLETE
30,30,0.94407758995697,2023-11-01 20:02:38.894586,2023-11-01 20:02:47.630165,0 days 00:00:08.735579,entropy,6,sqrt,200,COMPLETE
31,31,0.9480556989419484,2023-11-01 20:02:47.638740,2023-11-01 20:02:58.440324,0 days 00:00:10.801584,gini,6,log2,250,COMPLETE
32,32,0.9460398774339294,2023-11-01 20:02:58.443338,2023-11-01 20:03:05.345854,0 days 00:00:06.902516,entropy,10,log2,150,COMPLETE
33,33,0.9379123418422322,2023-11-01 20:03:05.351933,2023-11-01 20:03:09.394977,0 days 00:00:04.043044,entropy,3,sqrt,200,COMPLETE
34,34,0.9339168771316615,2023-11-01 20:03:09.396980,2023-11-01 20:03:16.061128,0 days 00:00:06.664148,gini,3,log2,250,COMPLETE
35,35,0.9492048781971376,2023-11-01 20:03:16.066140,2023-11-01 20:03:22.395844,0 days 00:00:06.329704,gini,6,log2,300,COMPLETE
36,36,0.9441114750630489,2023-11-01 20:03:22.397349,2023-11-01 20:03:28.523422,0 days 00:00:06.126073,entropy,8,sqrt,300,COMPLETE
37,37,0.9481073160810531,2023-11-01 20:03:28.526964,2023-11-01 20:03:31.116850,0 days 00:00:02.589886,log_loss,10,log2,100,COMPLETE
38,38,0.9441114750630489,2023-11-01 20:03:31.120904,2023-11-01 20:03:36.974152,0 days 00:00:05.853248,log_loss,11,sqrt,250,COMPLETE
39,39,0.951131713571552,2023-11-01 20:03:36.976153,2023-11-01 20:03:45.937050,0 days 00:00:08.960897,gini,10,sqrt,300,COMPLETE
40,40,0.9459357577443414,2023-11-01 20:03:45.940180,2023-11-01 20:03:54.121146,0 days 00:00:08.180966,entropy,7,log2,300,COMPLETE
41,41,0.94407758995697,2023-11-01 20:03:54.123410,2023-11-01 20:03:59.319259,0 days 00:00:05.195849,log_loss,6,log2,200,COMPLETE
42,42,0.939920073812889,2023-11-01 20:03:59.323275,2023-11-01 20:04:01.733186,0 days 00:00:02.409911,entropy,3,log2,100,COMPLETE
43,43,0.94407758995697,2023-11-01 20:04:01.738715,2023-11-01 20:04:07.634241,0 days 00:00:05.895526,entropy,6,log2,200,COMPLETE
